site_code,State
MCCULLOCH-1,Northeast
MCCULLOCH-2,Northeast
MCCULLOCH-3,Northeast
MICHAELMAS REEF-1,Northeast
MICHAELMAS REEF-2,Northeast
MICHAELMAS REEF-3,Northeast
MIDDLE REEF(19011)-1,Northeast
MIDDLE REEF(19011)-2,Northeast
MIDDLE REEF(19011)-3,Northeast
MIR-S1,Tasmania
MIR-S10,Tasmania
MIR-S11,Tasmania
MIR-S12,Tasmania
MIR-S13,Tasmania
MIR-S14,Tasmania
MIR-S15,Tasmania
MIR-S16,Tasmania
MIR-S17,Tasmania
MIR-S18,Tasmania
MIR-S2,Tasmania
MIR-S3,Tasmania
MIR-S5,Tasmania
MIR-S7,Tasmania
MIR-S8,Tasmania
MIR-S9,Tasmania
MOORE REEF-1,Northeast
MOORE REEF-2,Northeast
MOORE REEF-3,Northeast
MP-S1,South
MP-S2,South
MP-S3,South
MP-S4,South
MP-S5,South
MP-S6,South
MUR2,South
MUR4,South
MUR5,South
MUR6,South
MYRMIDON REEF-1,Northeast
MYRMIDON REEF-2,Northeast
MYRMIDON REEF-3,Northeast
NCMP-S1,Southwest
NCMP-S10,Southwest
NCMP-S11,Southwest
NCMP-S12,Southwest
NCMP-S13,Southwest
NCMP-S14,Southwest
NCMP-S15,Southwest
NCMP-S16,Southwest
NCMP-S17,Southwest
NCMP-S18,Southwest
NCMP-S19,Southwest
NCMP-S2,Southwest
NCMP-S20,Southwest
NCMP-S3,Southwest
NCMP-S4,Southwest
NCMP-S5,Southwest
NCMP-S6,Southwest
NCMP-S7,Southwest
NCMP-S8,Southwest
NCMP-S9,Southwest
NI1,Southeast
NI2,Southeast
NI7,Southeast
NI8,Southeast
NIN-S1,Tasmania
NIN-S2,Tasmania
NIN-S3,Tasmania
NIN-S4,Tasmania
NIN-S5,Tasmania
NMP1,Northwest
NMP10,Northwest
NMP11,Northwest
NMP13,Northwest
NMP14,Northwest
NMP19,Northwest
NMP2,Northwest
NMP20,Northwest
NMP21,Northwest
NMP24,Northwest
NMP25,Northwest
NMP26,Northwest
NMP27,Northwest
NMP28,Northwest
NMP29,Northwest
NMP31,Northwest
NMP6,Northwest
NMP8,Northwest
NMP9,Northwest
NMP-BF1,Northwest
NMP-BF2,Northwest
NMP-BF3,Northwest
NMP-BF4,Northwest
NMP-C1,Northwest
NMP-C3,Northwest
NMP-C4,Northwest
NMP-P2,Northwest
NMP-S1,Northwest
NMP-S2,Northwest
NMP-S3,Northwest
NMP-S4,Northwest
NO NAME REEF-1,Northeast
NO NAME REEF-2,Northeast
NO NAME REEF-3,Northeast
NORTH DIRECTION REEF-1,Northeast
NORTH DIRECTION REEF-2,Northeast
NORTH DIRECTION REEF-3,Northeast
NORTH REEF (NORTH)-1,Northeast
NORTH REEF (NORTH)-2,Northeast
NORTH REEF (NORTH)-3,Northeast
NQ3,Northeast
NQ5,Northeast
NQ7,Northeast
NSG1,South
NSG2,South
NSG20,South
NSW12,Southeast
NSW13,Southeast
NSW19,Southeast
NSW20,Southeast
NSW22,Southeast
NSW30,Southeast
NSW31,Southeast
NSW34,Southeast
NSW35,Southeast
NSW36,Southeast
NSW46,Southeast
NSW50,Southeast
NSW53,Southeast
NT2,Northwest
NT20,Northwest
NT21,Northwest
NT22,Northwest
NT23,Northwest
NT30,Northwest
NT31,Northwest
NT34,Northwest
NT37,Northwest
NT5,Northwest
NT8,Northwest
NT9,Northwest
NWS10,Northwest
NWS100,Northwest
NWS101,Northwest
NWS108,Northwest
NWS109,Northwest
NWS11,Northwest
NWS12,Northwest
NWS13,Northwest
NWS14,Northwest
NWS15,Northwest
NWS157,Northwest
NWS158,Northwest
NWS159,Northwest
NWS16,Northwest
NWS17,Northwest
NWS18,Northwest
NWS19,Northwest
NWS20,Northwest
NWS21,Northwest
NWS22,Northwest
NWS23,Northwest
NWS24,Northwest
NWS25,Northwest
NWS26,Northwest
NWS27,Northwest
NWS28,Northwest
NWS29,Northwest
NWS3,Northwest
NWS30,Northwest
NWS31,Northwest
NWS32,Northwest
NWS33,Northwest
NWS34,Northwest
NWS35,Northwest
NWS36,Northwest
NWS37,Northwest
NWS38,Northwest
NWS39,Northwest
NWS4,Northwest
NWS40,Northwest
NWS41,Northwest
NWS5,Northwest
NWS50,Northwest
NWS51,Northwest
NWS53,Northwest
NWS54,Northwest
NWS55,Northwest
NWS56,Northwest
NWS57,Northwest
NWS58,Northwest
NWS59,Northwest
NWS6,Northwest
NWS60,Northwest
NWS61,Northwest
NWS62,Northwest
NWS63,Northwest
NWS64,Northwest
NWS66,Northwest
NWS67,Northwest
NWS68,Northwest
NWS69,Northwest
NWS7,Northwest
NWS70,Northwest
NWS71,Northwest
NWS72,Northwest
NWS73,Northwest
NWS74,Northwest
NWS75,Northwest
NWS76,Northwest
NWS77,Northwest
