SPECIES_NAME,Family,Class,Taxon,Diet,Diet2,Slope,N,Spearman,Sig,Direction,Change,Max depth,Max depth,Max Length,Max Length,Max Length,Commercially exploited,N site,Lat Span degrees,endemism,Mobility,SiteLat,SiteLong,T Mean,T Mean,Biogeog,Chl mean,Count of 1450 sites,"Province 142 TI 147 prom 118 albany, temp <16 >21 oC chlorophyll >0.6",Biogeog2
Chaetodon aureofasciatus,Chaetodontidae,Actinopterygii,Vertebrate,Corallivore,Invertivore,-0.015632951,1762,-0.104395604,,,0.832572616,15,2.708050201,12.5,2.525728644,3,n,8.442380181,14,non-endemic,demersal,-18.91437939,143.893794,26.44055047,26.4,tropical,0.779370788,311,N,tropical
Neoglyphidodon nigroris,Pomacentridae,Actinopterygii,Vertebrate,Algal farmer,Herbivore,0.000582061,1756,-0.653846154,*,down,1.008431424,23,3.135494216,13,2.564949357,3,n,34.00390451,14,non-endemic,demersal,-17.64946893,143.4425342,26.53244591,26.6,tropical,0.692810813,299,N,tropical
Atypichthys strigatus,Scorpididae,Actinopterygii,Vertebrate,Planktivore,Invertivore,-0.040860563,1740,-0.142857143,,,0.657329679,30,3.401197382,25,3.218875825,3,n,209.5440124,26,endemic,demersal,-36.47696068,149.3657915,17.23504931,17.2,temperate,1.121147536,381,S,cool
Chaetodon baronessa,Chaetodontidae,Actinopterygii,Vertebrate,Corallivore,Invertivore,-0.053330438,1726,-0.494505495,,,0.586505519,20,2.995732274,16,2.772588722,3,n,2.187103892,20,non-endemic,demersal,-17.70166413,146.2265349,26.47973909,26.4,tropical,0.603768118,329,N,tropical
Labroides dimidiatus,Labridae,Actinopterygii,Vertebrate,Cleaner,Invertivore,-0.002606544,1694,0.104395604,,,0.970248908,40,3.688879454,14,2.63905733,3,n,9.772085553,27,non-endemic,demersal,-22.16045052,141.5246564,25.21097533,25.2,tropical,0.598592593,613,IWP,tropical
Scorpis lineolata,Scorpididae,Actinopterygii,Vertebrate,Planktivore,Invertivore,0.097805446,1676,0.456043956,,,2.525629528,30,3.401197382,37,3.610917913,4,n,138.4956769,14,non-endemic,demersal,-36.90809634,149.4038505,16.78983593,16.8,temperate,1.154447756,393,S,cool
Zebrasoma velifer,Acanthuridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.000462758,1613,0.010989011,,,0.992263254,40,3.688879454,45,3.80666249,4,n,2.496009813,22,non-endemic,demersal,-18.24929804,143.8659043,26.20603254,26.2,tropical,0.467154474,469,IWP,tropical
Siganus doliatus,Siganidae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,0.020725968,1599,0.175824176,,,1.229709949,5,1.609437912,25,3.218875825,3,n,5.079691334,14,non-endemic,demersal,-18.64946582,146.2575237,26.380185,26.4,tropical,0.639679013,273,N,tropical
Parupeneus spilurus,Mullidae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.046028055,1579,-0.406593407,,,0.612538453,25,3.218875825,47,3.850147602,4,n,9.798016986,26,non-endemic,demersal,-31.80210909,143.1062493,21.40000018,21.4,temperate,1.038870363,353,SW,warm
Plagusia chabrus,Plagusiidae,Malacostraca,Invertebrate,Benthic invertivore,Invertivore,-0.003455499,1571,-0.461538462,,,0.970854063,8,2.079441542,7,1.945910149,2,n,16.73276645,14,non-endemic,benthic,-38.52494797,143.5859226,16.78445656,16.8,temperate,1.118717385,418,S,cool
Parma microlepis,Pomacentridae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,-0.020870906,1529,-0.373626374,,,0.835846972,30,3.401197382,20,2.995732274,3,n,17.10894409,13,endemic,demersal,-36.06285893,150.1051826,17.68423419,17.6,temperate,1.061446799,299,SE,warm
Siganus vulpinus,Siganidae,Actinopterygii,Vertebrate,Browsing herbivore,Herbivore,-0.041432467,1513,-0.840659341,***,down,0.65136253,30,3.401197382,25,3.218875825,3,n,1.658761165,14,non-endemic,demersal,-18.26996339,145.2276134,26.62713883,26.6,tropical,0.606166669,304,N,tropical
Thalassoma lunare,Labridae,Actinopterygii,Vertebrate,Benthic invertivore,Invertivore,-0.015792889,1505,0.142857143,,,0.83473738,20,2.995732274,25,3.218875825,3,n,26.99144267,26,non-endemic,demersal,-23.37850446,141.086424,25.25491969,25.2,tropical,0.598700731,511,IWP,tropical
